Month,Passengers,month,lag1,lag2,lag3,rolling_mean_3,rolling_mean_6,Predicted
1949-06-01,135,6,121.0,129.0,132.0,128.33333333333334,124.5,133.35
1949-07-01,148,7,135.0,121.0,129.0,134.66666666666666,130.5,142.81
1949-08-01,148,8,148.0,135.0,121.0,143.66666666666666,135.5,148.76
1949-09-01,136,9,148.0,148.0,135.0,144.0,136.16666666666666,140.36
1949-10-01,119,10,136.0,148.0,148.0,134.33333333333334,134.5,123.67
1949-11-01,104,11,119.0,136.0,148.0,119.66666666666667,131.66666666666666,112.71
1949-12-01,118,12,104.0,119.0,136.0,113.66666666666667,128.83333333333334,121.34
1950-01-01,115,1,118.0,104.0,119.0,112.33333333333333,123.33333333333333,121.14
1950-02-01,126,2,115.0,118.0,104.0,119.66666666666667,119.66666666666667,125.83
1950-03-01,141,3,126.0,115.0,118.0,127.33333333333333,120.5,137.12
1950-04-01,135,4,141.0,126.0,115.0,134.0,123.16666666666667,136.91
1950-05-01,125,5,135.0,141.0,126.0,133.66666666666666,126.66666666666667,130.07
1950-06-01,149,6,125.0,135.0,141.0,136.33333333333334,131.83333333333334,142.09
1950-07-01,170,7,149.0,125.0,135.0,148.0,141.0,162.03
1950-08-01,170,8,170.0,149.0,125.0,163.0,148.33333333333334,166.49
1950-09-01,158,9,170.0,170.0,149.0,166.0,151.16666666666666,161.32
1950-10-01,133,10,158.0,170.0,170.0,153.66666666666666,150.83333333333334,145.94
1950-11-01,114,11,133.0,158.0,170.0,135.0,149.0,123.81
1950-12-01,140,12,114.0,133.0,158.0,129.0,147.5,135.35
1951-01-01,145,1,140.0,114.0,133.0,133.0,143.33333333333334,143.04
1951-02-01,150,2,145.0,140.0,114.0,145.0,140.0,148.57
1951-03-01,178,3,150.0,145.0,140.0,157.66666666666666,143.33333333333334,170.96
1951-04-01,163,4,178.0,150.0,145.0,163.66666666666666,148.33333333333334,166.68
1951-05-01,172,5,163.0,178.0,150.0,171.0,158.0,171.16
1951-06-01,178,6,172.0,163.0,178.0,171.0,164.33333333333334,174.88
1951-07-01,199,7,178.0,172.0,163.0,183.0,173.33333333333334,190.17
1951-08-01,199,8,199.0,178.0,172.0,192.0,181.5,195.71
1951-09-01,184,9,199.0,199.0,178.0,194.0,182.5,189.46
1951-10-01,162,10,184.0,199.0,199.0,181.66666666666666,182.33333333333334,171.99
1951-11-01,146,11,162.0,184.0,199.0,164.0,178.0,154.2
1951-12-01,166,12,146.0,162.0,184.0,158.0,176.0,158.27
1952-01-01,171,1,166.0,146.0,162.0,161.0,171.33333333333334,170.93
1952-02-01,180,2,171.0,166.0,146.0,172.33333333333334,168.16666666666666,177.07
1952-03-01,193,3,180.0,171.0,166.0,181.33333333333334,169.66666666666666,186.34
1952-04-01,181,4,193.0,180.0,171.0,184.66666666666666,172.83333333333334,185.98
1952-05-01,183,5,181.0,193.0,180.0,185.66666666666666,179.0,184.74
1952-06-01,218,6,183.0,181.0,193.0,194.0,187.66666666666666,209.93
1952-07-01,230,7,218.0,183.0,181.0,210.33333333333334,197.5,226.1
1952-08-01,242,8,230.0,218.0,183.0,230.0,207.83333333333334,235.5
1952-09-01,209,9,242.0,230.0,218.0,227.0,210.5,217.37
1952-10-01,191,10,209.0,242.0,230.0,214.0,212.16666666666666,194.99
1952-11-01,172,11,191.0,209.0,242.0,190.66666666666666,210.33333333333334,179.73
1952-12-01,194,12,172.0,191.0,209.0,185.66666666666666,206.33333333333334,187.51
1953-01-01,196,1,194.0,172.0,191.0,187.33333333333334,200.66666666666666,197.26
1953-02-01,196,2,196.0,194.0,172.0,195.33333333333334,193.0,198.22
1953-03-01,236,3,196.0,196.0,194.0,209.33333333333334,197.5,228.33
1953-04-01,235,4,236.0,196.0,196.0,222.33333333333334,204.83333333333334,233.43
1953-05-01,229,5,235.0,236.0,196.0,233.33333333333334,214.33333333333334,231.05
1953-06-01,243,6,229.0,235.0,236.0,235.66666666666666,222.5,238.37
1953-07-01,264,7,243.0,229.0,235.0,245.33333333333334,233.83333333333334,264.09
1953-08-01,272,8,264.0,243.0,229.0,259.6666666666667,246.5,270.4
1953-09-01,237,9,272.0,264.0,243.0,257.6666666666667,246.66666666666666,247.82
1953-10-01,211,10,237.0,272.0,264.0,240.0,242.66666666666666,217.81
1953-11-01,180,11,211.0,237.0,272.0,209.33333333333334,234.5,191.99
1953-12-01,201,12,180.0,211.0,237.0,197.33333333333334,227.5,197.65
1954-01-01,204,1,201.0,180.0,211.0,195.0,217.5,205.27
1954-02-01,188,2,204.0,201.0,180.0,197.66666666666666,203.5,193.32
1954-03-01,235,3,188.0,204.0,201.0,209.0,203.16666666666666,229.5
1954-04-01,227,4,235.0,188.0,204.0,216.66666666666666,205.83333333333334,227.93
1954-05-01,234,5,227.0,235.0,188.0,232.0,214.83333333333334,234.65
1954-06-01,264,6,234.0,227.0,235.0,241.66666666666666,225.33333333333334,259.65
1954-07-01,302,7,264.0,234.0,227.0,266.6666666666667,241.66666666666666,293.98
1954-08-01,293,8,302.0,264.0,234.0,286.3333333333333,259.1666666666667,289.47
1954-09-01,259,9,293.0,302.0,264.0,284.6666666666667,263.1666666666667,270.56
1954-10-01,229,10,259.0,293.0,302.0,260.3333333333333,263.5,239.91
1954-11-01,203,11,229.0,259.0,293.0,230.33333333333334,258.3333333333333,207.26
1954-12-01,229,12,203.0,229.0,259.0,220.33333333333334,252.5,217.66
1955-01-01,242,1,229.0,203.0,229.0,224.66666666666666,242.5,238.54
1955-02-01,233,2,242.0,229.0,203.0,234.66666666666666,232.5,233.25
1955-03-01,267,3,233.0,242.0,229.0,247.33333333333334,233.83333333333334,267.61
1955-04-01,269,4,267.0,233.0,242.0,256.3333333333333,240.5,266.99
1955-05-01,270,5,269.0,267.0,233.0,268.6666666666667,251.66666666666666,274.17
1955-06-01,315,6,270.0,269.0,267.0,284.6666666666667,266.0,297.07
1955-07-01,364,7,315.0,270.0,269.0,316.3333333333333,286.3333333333333,343.04
1955-08-01,347,8,364.0,315.0,270.0,342.0,305.3333333333333,350.62
1955-09-01,312,9,347.0,364.0,315.0,341.0,312.8333333333333,328.16
1955-10-01,274,10,312.0,347.0,364.0,311.0,313.6666666666667,280.86
1955-11-01,237,11,274.0,312.0,347.0,274.3333333333333,308.1666666666667,251.26
1955-12-01,278,12,237.0,274.0,312.0,263.0,302.0,262.4
1956-01-01,284,1,278.0,237.0,274.0,266.3333333333333,288.6666666666667,283.4
1956-02-01,277,2,284.0,278.0,237.0,279.6666666666667,277.0,285.64
1956-03-01,317,3,277.0,284.0,278.0,292.6666666666667,277.8333333333333,312.65
1956-04-01,313,4,317.0,277.0,284.0,302.3333333333333,284.3333333333333,311.62
1956-05-01,318,5,313.0,317.0,277.0,316.0,297.8333333333333,324.77
1956-06-01,374,6,318.0,313.0,317.0,335.0,313.8333333333333,367.93
1956-07-01,413,7,374.0,318.0,313.0,368.3333333333333,335.3333333333333,401.77
1956-08-01,405,8,413.0,374.0,318.0,397.3333333333333,356.6666666666667,414.79
1956-09-01,355,9,405.0,413.0,374.0,391.0,363.0,373.13
1956-10-01,306,10,355.0,405.0,413.0,355.3333333333333,361.8333333333333,311.99
1956-11-01,271,11,306.0,355.0,405.0,310.6666666666667,354.0,276.66
1956-12-01,306,12,271.0,306.0,355.0,294.3333333333333,342.6666666666667,298.84
1957-01-01,315,1,306.0,271.0,306.0,297.3333333333333,326.3333333333333,312.6
1957-02-01,301,2,315.0,306.0,271.0,307.3333333333333,309.0,305.43
1957-03-01,356,3,301.0,315.0,306.0,324.0,309.1666666666667,351.19
1957-04-01,348,4,356.0,301.0,315.0,335.0,316.1666666666667,351.55
1957-05-01,355,5,348.0,356.0,301.0,353.0,330.1666666666667,350.23
1957-06-01,422,6,355.0,348.0,356.0,375.0,349.5,408.17
1957-07-01,465,7,422.0,355.0,348.0,414.0,374.5,461.28
1957-08-01,467,8,465.0,422.0,355.0,451.3333333333333,402.1666666666667,466.38
1957-09-01,404,9,467.0,465.0,422.0,445.3333333333333,410.1666666666667,426.25
1957-10-01,347,10,404.0,467.0,465.0,406.0,410.0,369.19
1957-11-01,305,11,347.0,404.0,467.0,352.0,401.6666666666667,309.43
1957-12-01,336,12,305.0,347.0,404.0,329.3333333333333,387.3333333333333,328.46
1958-01-01,340,1,336.0,305.0,347.0,327.0,366.5,340.56
1958-02-01,318,2,340.0,336.0,305.0,331.3333333333333,341.6666666666667,331.68
1958-03-01,362,3,318.0,340.0,336.0,340.0,334.6666666666667,357.4
1958-04-01,348,4,362.0,318.0,340.0,342.6666666666667,334.8333333333333,353.07
1958-05-01,363,5,348.0,362.0,318.0,357.6666666666667,344.5,348.76
1958-06-01,435,6,363.0,348.0,362.0,382.0,361.0,419.33
1958-07-01,491,7,435.0,363.0,348.0,429.6666666666667,386.1666666666667,478.32
1958-08-01,505,8,491.0,435.0,363.0,477.0,417.3333333333333,486.37
1958-09-01,404,9,505.0,491.0,435.0,466.6666666666667,424.3333333333333,439.08
1958-10-01,359,10,404.0,505.0,491.0,422.6666666666667,426.1666666666667,387.81
1958-11-01,310,11,359.0,404.0,505.0,357.6666666666667,417.3333333333333,313.29
1958-12-01,337,12,310.0,359.0,404.0,335.3333333333333,401.0,325.99
1959-01-01,360,1,337.0,310.0,359.0,335.6666666666667,379.1666666666667,342.24
1959-02-01,342,2,360.0,337.0,310.0,346.3333333333333,352.0,338.93
1959-03-01,406,3,342.0,360.0,337.0,369.3333333333333,352.3333333333333,402.24
1959-04-01,396,4,406.0,342.0,360.0,381.3333333333333,358.5,418.36
1959-05-01,420,5,396.0,406.0,342.0,407.3333333333333,376.8333333333333,423.33
1959-06-01,472,6,420.0,396.0,406.0,429.3333333333333,399.3333333333333,445.6
1959-07-01,548,7,472.0,420.0,396.0,480.0,430.6666666666667,464.18
1959-08-01,559,8,548.0,472.0,420.0,526.3333333333334,466.8333333333333,459.07
1959-09-01,463,9,559.0,548.0,472.0,523.3333333333334,476.3333333333333,437.37
1959-10-01,407,10,463.0,559.0,548.0,476.3333333333333,478.1666666666667,432.32
1959-11-01,362,11,407.0,463.0,559.0,410.6666666666667,468.5,383.95
1959-12-01,405,12,362.0,407.0,463.0,391.3333333333333,457.3333333333333,364.87
1960-01-01,417,1,405.0,362.0,407.0,394.6666666666667,435.5,402.24
1960-02-01,391,2,417.0,405.0,362.0,404.3333333333333,407.5,432.21
1960-03-01,419,3,391.0,417.0,405.0,409.0,400.1666666666667,401.83
1960-04-01,461,4,419.0,391.0,417.0,423.6666666666667,409.1666666666667,443.17
1960-05-01,472,5,461.0,419.0,391.0,450.6666666666667,427.5,465.3
1960-06-01,535,6,472.0,461.0,419.0,489.3333333333333,449.1666666666667,456.66
1960-07-01,622,7,535.0,472.0,461.0,543.0,483.3333333333333,460.05
1960-08-01,606,8,622.0,535.0,472.0,587.6666666666666,519.1666666666666,457.36
1960-09-01,508,9,606.0,622.0,535.0,578.6666666666666,534.0,437.37
1960-10-01,461,10,508.0,606.0,622.0,525.0,534.0,435.01
1960-11-01,390,11,461.0,508.0,606.0,453.0,520.3333333333334,428.64
1960-12-01,432,12,390.0,461.0,508.0,427.6666666666667,503.1666666666667,389.06
